[2024-11-16 20:55:04] Starting Symbols.py...
[2024-11-16 20:55:09] Output of Symbols.py:
Error fetching data for 16112024: 404 Client Error: Not Found for url: https://nsearchives.nseindia.com/products/content/sec_bhavdata_full_16112024.csv
Symbols saved to /home/nikunj/NseInsiderTrading/Symbols.csv for 15112024

[2024-11-16 20:55:09] Starting StkData.py...
[2024-11-16 21:58:49] Output of StkData.py:
       SYMBOL
0   20MICRONS
1  21STCENMGM
2      360ONE
3   3IINFOLTD
4     3MINDIA
Stock data for 20MICRONS: ('Industrial Minerals', 'Minerals & Mining', 'Commodities', 'Metals & Mining')
Stock data for REFRACTORY: ('Electrodes & Refractories', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for REGENCERAM: ('Ceramics', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for RELAXO: ('Footwear', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for RELCHEMQ: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for RELIABLE: ('Other Financial Services', 'Finance', 'Financial Services', 'Financial Services')
Stock data for RELIANCE: ('Refineries & Marketing', 'Petroleum Products', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for RELIGARE: ('Investment Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for RELINFRA: ('Integrated Power Utilities', 'Power', 'Utilities', 'Power')
Stock data for RELTD: ('Trading & Distributors', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for REMSONSIND: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for REMUS: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for RENUKA: ('Sugar', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for REPCOHOME: ('Housing Finance Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for REPL: ('Real Estate related services', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for REPRO: ('Printing & Publication', 'Printing & Publication', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for RESPONIND: ('Furniture Home Furnishing', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for RETAIL: ('Diversified Retail', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for REVATHIEQU: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for REXPIPES: ('Plastic Products - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for RGL: ('Gems Jewellery And Watches', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for RHFL: ('Housing Finance Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for RHIM: ('Electrodes & Refractories', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for RHL: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for RICHA: ('Computers Hardware & Equipments', 'IT - Hardware', 'Information Technology', 'Information Technology')
Stock data for RICOAUTO: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for RIIL: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for RILINFRA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for RISHABH: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for RITCO: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for RITES: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for RKDL: ('Breweries & Distilleries', 'Beverages', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for RKEC: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for RKFORGE: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for RKSWAMY: ('Advertising & Media Agencies', 'Media', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for RMDRIP: ('Plastic Products - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for RML: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for RNFI: ('Other Financial Services', 'Finance', 'Financial Services', 'Financial Services')
Stock data for ROCKINGDCE: ('Trading & Distributors', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for ROHLTD: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for ROLEXRINGS: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for ROLLT: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for ROML: ('Edible Oil', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for ROSSARI: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for ROSSELLIND: ('Aerospace & Defense', 'Aerospace & Defense', 'Industrials', 'Capital Goods')
Stock data for ROTO: ('Compressors Pumps & Diesel Engines', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for ROUTE: ('Other Telecom Services', 'Telecom - Services', 'Telecommunication', 'Telecommunication')
Stock data for ROXHITECH: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for RPEL: ('Electrodes & Refractories', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for RPGLIFE: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for RPOWER: ('Power Generation', 'Power', 'Utilities', 'Power')
Stock data for RPPINFRA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for RPPL: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for RPSGVENT: ('Business Process Outsourcing (BPO)/ Knowledge Process Outsourcing (KPO)', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for RPTECH: ('Computers Hardware & Equipments', 'IT - Hardware', 'Information Technology', 'Information Technology')
Stock data for RRKABEL: ('Cables - Electricals', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for RSSOFTWARE: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for RSWM: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for RSYSTEMS: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for RTNINDIA: ('E-Retail/ E-Commerce', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for RTNPOWER: ('Integrated Power Utilities', 'Power', 'Utilities', 'Power')
Stock data for RUBFILA: ('Rubber', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for RUBYMILLS: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for RUCHINFRA: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for RUCHIRA: ('Paper & Paper Products', 'Paper Forest & Jute Products', 'Commodities', 'Forest Materials')
Stock data for RULKA: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for RUPA: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for RUSHIL: ('Plywood Boards/ Laminates', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for RUSTOMJEE: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for RVHL: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for RVNL: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for S&SPOWER: (None, None, None, None)
Stock data for SAAKSHI: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for SABAR: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SABEVENTS: ('Electronic Media', 'Media', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for SABTNL: ('TV Broadcasting & Software Production', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for SADBHAV: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for SADBHIN: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for SADHAV: ('Shipping', 'Transport Services', 'Services', 'Services')
Stock data for SADHNANIQ: ('Commodity Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SAFARI: ('Plastic Products - Consumer', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SAGARDEEP: ('Aluminium Copper & Zinc Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SAGCEM: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for SAGILITY: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for SAH: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SAHAJSOLAR: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for SAHANA: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for SAHASRA: ('Other Industrial Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SAHYADRI: ('Other Construction Materials', 'Other Construction Materials', 'Commodities', 'Construction Materials')
Stock data for SAIFL: ('Other Agricultural Products', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SAIL: ('Iron & Steel', 'Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for SAJHOTELS: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for SAKAR: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SAKHTISUG: ('Sugar', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SAKSOFT: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for SAKUMA: ('Trading & Distributors', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for SALASAR: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for SALONA: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SALSTEEL: ('Sponge Iron', 'Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for SALZERELEC: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for SAMBHAAV: ('Electronic Media', 'Media', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for SAMHI: ('Hotels & Resorts', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for SAMMAANCAP: ('Housing Finance Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for SAMPANN: ('Rubber', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SANCO: ('TRADING', 'TRADING', 'SERVICES', 'SERVICES')
Stock data for SANDESH: ('Print Media', 'Media', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for SANDHAR: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SANDUMA: ('Coal', 'Consumable Fuels', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for SANGAMIND: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SANGHIIND: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for SANGHVIMOV: ('Construction Vehicles', 'Agricultural Commercial & Construction Vehicles', 'Industrials', 'Capital Goods')
Stock data for SANGINITA: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SANOFI: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SANOFICONR: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SANSERA: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SANSTAR: ('Other Agricultural Products', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SANWARIA: ('Other Food Products', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SAPPHIRE: ('Restaurants', 'Leisure Services', 'Consumer Discretionary', 'Consumer Services')
Stock data for SARDAEN: ('Iron & Steel', 'Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for SAREGAMA: ('Media & Entertainment', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for SARLAPOLY: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SAROJA: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SARTELE: ('Telecom - Infrastructure', 'Telecom - Services', 'Telecommunication', 'Telecommunication')
Stock data for SARVESHWAR: ('Other Agricultural Products', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SASKEN: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for SASTASUNDR: ('Healthcare Service Provider', 'Healthcare Services', 'Healthcare', 'Healthcare')
Stock data for SATECH: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for SATIA: ('Paper & Paper Products', 'Paper Forest & Jute Products', 'Commodities', 'Forest Materials')
Stock data for SATIN: ('Microfinance Institutions', 'Finance', 'Financial Services', 'Financial Services')
Stock data for SATINDLTD: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SATIPOLY: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SAURASHCEM: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for SBC: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SBCL: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SBFC: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for SBGLP: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for SBICARD: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for SBIETFCON: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SBIETFIT: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SBIETFPB: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SBIETFQLTY: ('', '', '', '')
Stock data for SBILIFE: ('Life Insurance', 'Insurance', 'Financial Services', 'Financial Services')
Stock data for SBIN: ('Public Sector Bank', 'Banks', 'Financial Services', 'Financial Services')
Stock data for SBINEQWETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SBISILVER: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SCHAEFFLER: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SCHAND: ('Printing & Publication', 'Printing & Publication', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for SCHNEIDER: ('Heavy Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for SCI: ('Shipping', 'Transport Services', 'Services', 'Services')
Stock data for SCILAL: ('Investment Company', 'Finance', 'Financial Services', 'Financial Services')
Stock data for SCML: ('Castings & Forgings', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SCPL: ('Dairy Products', 'Food Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SDBL: ('Breweries & Distilleries', 'Beverages', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SDL26BEES: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SDREAMS: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SEAMECLTD: ('Shipping', 'Transport Services', 'Services', 'Services')
Stock data for SECL: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for SECMARK: ('Computers - Software & Consulting', 'IT - Software', 'Information Technology', 'Information Technology')
Stock data for SECURCRED: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for SECURKLOUD: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for SEJALLTD: ('Glass - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SEL: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for SELAN: ('Oil Exploration & Production', 'Oil', 'Energy', 'Oil Gas & Consumable Fuels')
Stock data for SELMC: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SEMAC: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for SENCO: ('Gems Jewellery And Watches', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SENSEXADD: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SENSEXETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SENSEXIETF: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SEPC: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for SEQUENT: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SERVICE: ('Diversified Commercial Services', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for SERVOTECH: ('Other Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for SESHAPAPER: ('Paper & Paper Products', 'Paper Forest & Jute Products', 'Commodities', 'Forest Materials')
Stock data for SETCO: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SETF10GILT: ('', '', '', '')
Stock data for SETFGOLD: ('', '', '', '')
Stock data for SETFNIF50: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SETFNIFBK: ('', '', '', '')
Stock data for SETFNN50: ('', '', '', '')
Stock data for SETUINFRA: ('Civil Construction', 'Construction', 'Industrials', 'Construction')
Stock data for SFL: ('Furniture Home Furnishing', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SGBAPR28I: ('', '', '', '')
Stock data for SGBAUG27: ('', '', '', '')
Stock data for SGBAUG28V: ('', '', '', '')
Stock data for SGBAUG29V: ('', '', '', '')
Stock data for SGBAUG30: ('', '', '', '')
Stock data for SGBD29VIII: ('', '', '', '')
Stock data for SGBDC27VII: ('', '', '', '')
Stock data for SGBDE30III: ('', '', '', '')
Stock data for SGBDE31III: ('', '', '', '')
Stock data for SGBDEC25: ('', '', '', '')
Stock data for SGBDEC2512: ('', '', '', '')
Stock data for SGBDEC25XI: ('', '', '', '')
Stock data for SGBFEB28IX: ('', '', '', '')
Stock data for SGBFEB29XI: ('', '', '', '')
Stock data for SGBFEB32IV: ('', '', '', '')
Stock data for SGBJ28VIII: ('', '', '', '')
Stock data for SGBJAN26: ('', '', '', '')
Stock data for SGBJAN29IX: ('', '', '', '')
Stock data for SGBJAN29X: ('', '', '', '')
Stock data for SGBJAN30IX: ('', '', '', '')
Stock data for SGBJU29III: ('', '', '', '')
Stock data for SGBJUL25: ('', '', '', '')
Stock data for SGBJUL27: ('', '', '', '')
Stock data for SGBJUL28IV: ('', '', '', '')
Stock data for SGBJUL29IV: ('', '', '', '')
Stock data for SGBJUN27: ('', '', '', '')
Stock data for SGBJUN28: ('', '', '', '')
Stock data for SGBJUN29II: ('', '', '', '')
Stock data for SGBJUN30: ('', '', '', '')
Stock data for SGBJUN31I: ('', '', '', '')
Stock data for SGBMAR25: ('', '', '', '')
Stock data for SGBMAR28X: ('', '', '', '')
Stock data for SGBMAR30X: ('', '', '', '')
Stock data for SGBMAR31IV: ('', '', '', '')
Stock data for SGBMAY25: ('', '', '', '')
Stock data for SGBMAY26: ('', '', '', '')
Stock data for SGBMAY28: ('', '', '', '')
Stock data for SGBMAY29I: ('', '', '', '')
Stock data for SGBMR29XII: ('', '', '', '')
Stock data for SGBN28VIII: ('', '', '', '')
Stock data for SGBNOV258: ('', '', '', '')
Stock data for SGBNOV25IX: ('', '', '', '')
Stock data for SGBNOV26: ('', '', '', '')
Stock data for SGBNV29VII: ('', '', '', '')
Stock data for SGBOC28VII: ('', '', '', '')
Stock data for SGBOCT25: ('', '', '', '')
Stock data for SGBOCT25V: ('', '', '', '')
Stock data for SGBOCT26: ('', '', '', '')
Stock data for SGBOCT27: ('', '', '', '')
Stock data for SGBOCT27VI: ('', '', '', '')
Stock data for SGBSEP27: ('', '', '', '')
Stock data for SGBSEP28VI: ('', '', '', '')
Stock data for SGBSEP29VI: ('', '', '', '')
Stock data for SGBSEP31II: ('', '', '', '')
Stock data for SGIL: ('Castings & Forgings', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SGL: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SHAH: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SHAHALLOYS: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SHAILY: ('Plastic Products - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SHAKTIPUMP: ('Compressors Pumps & Diesel Engines', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SHALBY: ('Hospital', 'Healthcare Services', 'Healthcare', 'Healthcare')
Stock data for SHALPAINTS: ('Paints', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SHANKARA: ('Speciality Retail', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for SHANTHALA: ('Cigarettes & Tobacco Products', 'Cigarettes & Tobacco Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SHANTI: ('Edible Oil', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SHANTIGEAR: ('Industrial Products', 'Industrial Manufacturing', 'Industrials', 'Capital Goods')
Stock data for SHARDACROP: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for SHARDAMOTR: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SHAREINDIA: ('Stockbroking & Allied', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SHARIABEES: ('Mutual Fund Scheme', 'Capital Markets', 'Financial Services', 'Financial Services')
Stock data for SHEETAL: ('Other Agricultural Products', 'Agricultural Food & other Products', 'Fast Moving Consumer Goods', 'Fast Moving Consumer Goods')
Stock data for SHEKHAWATI: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SHEMAROO: ('Media & Entertainment', 'Entertainment', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for SHERA: ('Aluminium Copper & Zinc Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SHIGAN: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SHILPAMED: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SHIVALIK: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
Stock data for SHIVAMAUTO: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SHIVAMILLS: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SHIVATEX: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SHK: ('Specialty Chemicals', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SHOPERSTOP: ('Diversified Retail', 'Retailing', 'Consumer Discretionary', 'Consumer Services')
Stock data for SHRADHA: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for SHREDIGCEM: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for SHREECEM: ('Cement & Cement Products', 'Cement & Cement Products', 'Commodities', 'Construction Materials')
Stock data for SHREEKARNI: ('Other Textile Products', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SHREEOSFM: ('Road Transport', 'Transport Services', 'Services', 'Services')
Stock data for SHREEPUSHK: ('Dyes And Pigments', 'Chemicals & Petrochemicals', 'Commodities', 'Chemicals')
Stock data for SHREERAMA: ('Packaging', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SHRENIK: ('Paper & Paper Products', 'Paper Forest & Jute Products', 'Commodities', 'Forest Materials')
Stock data for SHREYANIND: ('Paper & Paper Products', 'Paper Forest & Jute Products', 'Commodities', 'Forest Materials')
Stock data for SHRIPISTON: ('Auto Components & Equipments', 'Auto Components', 'Consumer Discretionary', 'Automobile and Auto Components')
Stock data for SHRIRAMFIN: ('Non Banking Financial Company (NBFC)', 'Finance', 'Financial Services', 'Financial Services')
Stock data for SHRIRAMPPS: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for SHRITECH: ('Plastic Products - Industrial', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SHUBHLAXMI: ('Gems Jewellery And Watches', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SHUBHSHREE: ('Other Industrial Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SHYAMCENT: ('Ferro & Silica Manganese', 'Ferrous Metals', 'Commodities', 'Metals & Mining')
Stock data for SHYAMMETL: ('Iron & Steel Products', 'Industrial Products', 'Industrials', 'Capital Goods')
Stock data for SHYAMTEL: ('Trading & Distributors', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for SICALLOG: ('Logistics Solution Provider', 'Transport Services', 'Services', 'Services')
Stock data for SIDDHIKA: ('Paints', 'Consumer Durables', 'Consumer Discretionary', 'Consumer Durables')
Stock data for SIEMENS: ('Heavy Electrical Equipment', 'Electrical Equipment', 'Industrials', 'Capital Goods')
Stock data for SIGACHI: ('Pharmaceuticals', 'Pharmaceuticals & Biotechnology', 'Healthcare', 'Healthcare')
Stock data for SIGIND: ('Trading & Distributors', 'Commercial Services & Supplies', 'Services', 'Services')
Stock data for SIGMA: ('IT Enabled Services', 'IT - Services', 'Information Technology', 'Information Technology')
Stock data for SIGNATURE: ('Residential Commercial Projects', 'Realty', 'Consumer Discretionary', 'Realty')
Stock data for SIGNORIA: ('Garments & Apparels', 'Textiles & Apparels', 'Consumer Discretionary', 'Textiles')
Stock data for SIGNPOST: ('Advertising & Media Agencies', 'Media', 'Consumer Discretionary', 'Media Entertainment & Publication')
Stock data for SIKKO: ('Pesticides & Agrochemicals', 'Fertilizers & Agrochemicals', 'Commodities', 'Chemicals')
